S.no, Profile, Dia_mm, Thk_mm, Td_kN, Pd_kN, Vy_kN, Vz_kN, Td_kN-m, My_kN-m, Mz-_kN-m, Mz+_kN-m, KLT, lay, laz, laLT, Fc1
37, NB135X4.5, 152.4, 4.5, 665.2822242807641, 545.4889301696583, 244.52620923764442, 244.52620923764442, 29.223386568424132, 28.673480521006056, 28.673480521006056, 28.673480521006056, 0.989281289893245, 0.6334182518010192, 0.6334182518010192, 0.6334182518010192, -1.0020809850847878e-06
38, NB135X4.8, 152.4, 4.8, 708.1949519321395, 580.2128938394219, 260.2988937280237, 260.2988937280237, 31.045283746839594, 30.40331115688513, 30.40331115688513, 30.40331115688513, 0.9899029545961536, 0.6346638927409859, 0.6346638927409859, 0.6346638927409859, -9.413603766135686e-07
39, NB135X5.4, 152.4, 5.4, 793.4806244971396, 649.0464346220996, 291.6458641617345, 291.6458641617345, 34.64257058492057, 33.79815100348232, 33.79815100348232, 33.79815100348232, 0.9909382591632905, 0.6371614796663784, 0.6371614796663784, 0.6371614796663784, -8.401801456578227e-07
40, NB150X4.5, 165.1, 4.5, 722.4092306929728, 610.6653594746374, 265.5233888003088, 265.5233888003088, 34.45761996743956, 33.8835876419341, 33.8835876419341, 33.8835876419341, 0.991181832885512, 0.5833694956782615, 0.5833694956782615, 0.5833694956782615, -9.228379682069747e-07
41, NB150X4.8, 165.1, 4.8, 769.1304254384955, 649.7590088187793, 282.69588526153257, 282.69588526153257, 36.61760733774389, 35.944334461795215, 35.944334461795215, 35.944334461795215, 0.9916973424908824, 0.584428705649321, 0.584428705649321, 0.584428705649321, -8.667797354221005e-07
42, NB150X5.4, 165.1, 5.4, 862.0330321917902, 727.3409168625504, 316.8424796369319, 316.8424796369319, 40.88700254658553, 39.99486054369053, 39.99486054369053, 39.99486054369053, 0.9925559976534322, 0.5865521449536234, 0.5865521449536234, 0.5865521449536234, -7.733655692654975e-07
43, NB150X5.9, 165.1, 5.9, 938.9020924384891, 791.3762552254695, 345.09590235554776, 345.09590235554776, 44.393544295513585, 43.29888317977833, 43.29888317977833, 43.29888317977833, 0.9931376407292639, 0.588326719682745, 0.588326719682745, 0.588326719682745, -7.100491862098418e-07
44, NB150X6.3, 165.1, 6.3, 1000.0374854773454, 842.2014187036407, 367.56637483240746, 367.56637483240746, 47.16536795005934, 45.89596022212189, 45.89596022212189, 45.89596022212189, 0.9935361748305357, 0.5897496288639766, 0.5897496288639766, 0.5897496288639766, -6.666416772851755e-07
45, NB150X8, 165.1, 8.0, 1256.294342237344, 1054.2156951590168, 461.7542480202411, 461.7542480202411, 58.617060826149554, 56.48624279527767, 56.48624279527767, 56.48624279527767, 0.9947828954433917, 0.5958282965767198, 0.5958282965767198, 0.5958282965767198, -5.306612027555542e-07
46, NB150X4.5, 168.3, 4.5, 736.8034370330564, 626.9268655273771, 270.81401672160996, 270.81401672160996, 35.84445568684638, 35.26502794778813, 35.26502794778813, 35.26502794778813, 0.9915782380090541, 0.571981458446812, 0.571981458446812, 0.571981458446812, -9.048093876315032e-07
47, NB150X4.8, 168.3, 4.8, 784.4842455345852, 667.109814193822, 288.3392217109205, 288.3392217109205, 38.094162721036724, 37.413731710711296, 37.413731710711296, 37.413731710711296, 0.9920714200726769, 0.5730002938982126, 0.5730002938982126, 0.5730002938982126, -8.498152390713317e-07
48, NB150X5.4, 168.3, 5.4, 879.3060797998909, 746.872234610755, 323.1912331424933, 323.1912331424933, 42.54197123862244, 41.638622485471636, 41.638622485471636, 41.638622485471636, 0.9928929121159752, 0.5750427160309728, 0.5750427160309728, 0.5750427160309728, -7.581736121037447e-07
49, NB150X6.3, 168.3, 6.3, 1020.189374353463, 865.0082444855416, 374.9732539222293, 374.9732539222293, 49.08539155764255, 47.797399744742215, 47.797399744742215, 47.797399744742215, 0.9938307246425382, 0.5781180217264831, 0.5781180217264831, 0.5781180217264831, -6.534734466227524e-07
